Name,DOI
Sixth graders evaluation strategies when reading Internet search results: an eye-tracking study,10.1080/0144929X.2018.1477992
Analysis of critical factors for social games based on extended technology acceptance model: a DEMATEL approach,10.1080/0144929X.2018.1480654
How does presence influence purchase intention in online shopping markets? An explanation based on self-determination theory,10.1080/0144929X.2018.1484514
Unwind: a musical biofeedback for relaxation assistance,10.1080/0144929X.2018.1484515
Recreational athletes running motivations as predictors of their use of online fitness community features,10.1080/0144929X.2018.1484516
The effect of Facebook use on office workers job performance and the moderating effects of task equivocality and interdependence,10.1080/0144929X.2018.1485743
"Games for active ageing, well-being and quality of life: a pilot study",10.1080/0144929X.2018.1485744
Towards EEG-based BCI driven by emotions for addressing BCI-Illiteracy: a meta-analytic review,10.1080/0144929X.2018.1485745
"Vol: 37, Issue: 9",
Editorial,10.1080/0144929X.2018.1519089
Enhancing the quality of service of mobile video technology by increasing multimodal synergy,10.1080/0144929X.2018.1505954
How to evaluate emotional experiences in television drama series: improving viewer evaluations using a combination of psychophysiological measurements and self-reports,10.1080/0144929X.2018.1505953
The Konect value  a quantitative method for estimating perception time and accuracy for HMI designs,10.1080/0144929X.2018.1505952
Cognitive work analysis in the conceptual design of first-of-a-kind systems  designing urban air traffic management,10.1080/0144929X.2018.1505951
Profiling ethics orientation through play,10.1080/0144929X.2018.1508501
"Vol: 37, Issue: 10-11",
Advanced decision-making in higher education: learning analytics research and key performance indicators,10.1080/0144929X.2018.1512940
A bibliometric perspective of learning analytics research landscape,10.1080/0144929X.2018.1467967
Competence-based recommender systems: a systematic literature review,10.1080/0144929X.2018.1496276
Predicting students learning style using learning analytics: a case study of business management students from India,10.1080/0144929X.2018.1482369
Learning Analytics to identify dropout factors of Computer Science studies through Bayesian networks,10.1080/0144929X.2018.1485053
Tracking precursors of learning analytics over serious game team performance ranking,10.1080/0144929X.2018.1474949
Analysing the predictive power for anticipating assignment grades in a massive open online course,10.1080/0144929X.2018.1458904
A mixed method analysis of the online information course withdrawal system,10.1080/0144929X.2018.1495764
"Promoting collaborative skills in online university: comparing effects of games, mixed reality, social media, and other tools for ICT-supported pedagogical practices",10.1080/0144929X.2018.1476919
Barriers to the adoption of social networking sites in Saudi Arabia's higher education,10.1080/0144929X.2018.1464600
Normalised fuzzy index for research ranking,10.1080/0144929X.2018.1482370
System of Information Systems to support learners (a case study at the University of Technology of Compiègne),10.1080/0144929X.2018.1502808
Big data and sentiment analysis to highlight decision behaviours: a case study for student population,10.1080/0144929X.2018.1502355
"Towards an integrated learning analytics framework for quality perceptions in higher education: a 3-tier content, process, engagement model for key performance indicators",10.1080/0144929X.2018.1495765
Mapping the study of learning analytics in higher education,10.1080/0144929X.2018.1529198
Correction,10.1080/0144929X.2018.1534715
"Vol: 37, Issue: 12",
Perceived potential for value creation from cloud computing: a study of the Australian regional government sector,10.1080/0144929X.2018.1488991
Assessing enterprise wiki success from the perspective of end-users: an empirical approach,10.1080/0144929X.2018.1488992
Attention to eSports advertisement: effects of ad animation and in-game dynamics on viewers visual attention,10.1080/0144929X.2018.1488993
Evaluation of the electronic long cane: improving mobility in urban environments,10.1080/0144929X.2018.1490454
Exploring player experience in ranked League of Legends,10.1080/0144929X.2018.1492631
Using e-portfolio for learning goal setting to facilitate self-regulated learning of high school students,10.1080/0144929X.2018.1496275
Some insights into the impact of affective information when delivering feedback to students,10.1080/0144929X.2018.1499803
"Using multidimensional scaling and PLS-SEM to assess the relationships between personality traits, problematic internet use, and fear of missing out",10.1080/0144929X.2018.1502353
"Vol: 36, Issue: 1",
A message from the new editor,10.1080/0144929X.2017.1299668
"Perceived quality factors of location-based apps on trust, perceived privacy risk, and continuous usage intention",10.1080/0144929X.2016.1143033
"Focused, not lost: the mediating role of Temporal Dissociation and Focused Immersion on Problematic Internet Use",10.1080/0144929X.2016.1159249
Physicians motivations to use mobile health monitoring: a cross-country comparison,10.1080/0144929X.2016.1171395
Does power posing affect gerontechnology adoption among older adults?,10.1080/0144929X.2016.1175508
Effect of design-based learning on improving computational thinking,10.1080/0144929X.2016.1188415
Playing catch up with blended learning: performance impacts of augmenting classroom instruction with online learning,10.1080/0144929X.2016.1189964
Perceived benefits of and barriers to the adoption of teleworking: peculiarities of Spanish family firms,10.1080/0144929X.2016.1192684
Visual perception of multi-column-layout text: insight from repeated and non-repeated reading,10.1080/0144929X.2016.1196502
How does justice matter in online retailers reputation and purchase intentions: an empirical study of China,10.1080/0144929X.2016.1196503
Music learning in preschool with mobile devices,10.1080/0144929X.2016.1198421
Erratum,10.1080/0144929X.2014.914772
"Vol: 36, Issue: 2",
"Interactivity, engagement, and technology dependence: understanding users technology utilisation behaviour",10.1080/0144929X.2016.1199051
Understanding trust and perceived usefulness in the consumer acceptance of an e-service: a longitudinal investigation,10.1080/0144929X.2016.1203024
How do post-usage factors and espoused cultural values impact mobile payment continuation?,10.1080/0144929X.2016.1208773
The effect of individual and task characteristics on decision aid reliance,10.1080/0144929X.2016.1209242
Exploring the relative impact of biological sex and masculinityfemininity values on information technology use,10.1080/0144929X.2016.1212091
Charismatic leadership and tacit knowledge sharing in the context of enterprise systems learning: the mediating effect of psychological safety climate and intrinsic motivation,10.1080/0144929X.2016.1221461
Learning results and terminal values from the players of SimCity and The Sims,10.1080/0144929X.2016.1208772
"Vol: 36, Issue: 3",
Exploring sustained participation in firm-hosted communities in China: the effects of social capital and active degree,10.1080/0144929X.2016.1212402
Attitudes towards the use of information and communication technology in management education,10.1080/0144929X.2016.1212928
Reducing techno-anxiety in high school teachers by improving their ICT problem-solving skills,10.1080/0144929X.2016.1221462
The social influence of online collaborative community: the moderating effect of achievement,10.1080/0144929X.2016.1221463
Adapting technology: effect of high-involvement HRM and organisational trust,10.1080/0144929X.2016.1222552
Identify predictors of university students continuance intention to use online carbon footprint calculator,10.1080/0144929X.2016.1232751
Evaluating peer learning and assessment in online collaborative learning environments,10.1080/0144929X.2016.1232752
Exploring the predictors and the role of trust and concern in the context of data disclosure to governmental institutions,10.1080/0144929X.2016.1234645
"Vol: 36, Issue: 4",
Converging coolness and investigating its relation to user experience,10.1080/0144929X.2016.1232753
"Towards cultural translation of websites: a large-scale study of Australian, Chinese, and Saudi Arabian design preferences",10.1080/0144929X.2016.1234646
SECOL: a semantic environment based on social media to support organisational learning,10.1080/0144929X.2016.1236836
Do security and privacy policies in B2B and B2C e-commerce differ? A comparative study using content analysis,10.1080/0144929X.2016.1236837
User bias in online trust systems: aligning the system designers intentions with the users expectations,10.1080/0144929X.2016.1239761
Defining and classifying IT interaction disability,10.1080/0144929X.2016.1240233
Texting and walking: a controlled field study of crossing behaviours and inattentional blindness in Taiwan,10.1080/0144929X.2016.1240234
"Vol: 36, Issue: 5",
Understanding and supporting histopathology slide sorting,10.1080/0144929X.2016.1242652
Self-reflection on privacy research in social networking sites,10.1080/0144929X.2016.1242653
Influence of traits and emotions on boosting status sharing through microblogging,10.1080/0144929X.2016.1257067
Effects of social support and personality on emotional disclosure on Facebook and in real life,10.1080/0144929X.2016.1258086
Trading off usability and security in user interface design through mental models,10.1080/0144929X.2016.1262897
Use of social network sites among depressed adolescents,10.1080/0144929X.2016.1262898
A multilevel longitudinal study of experiencing virtual presence in adolescence: the role of anxiety and openness to experience in the classroom,10.1080/0144929X.2016.1262900
Effects of using a force feedback haptic augmented simulation on the attitudes of the gifted students towards studying chemical bonds in virtual reality environment,10.1080/0144929X.2016.1264483
How virtual reality affects perceived learning effectiveness: a tasktechnology fit perspective,10.1080/0144929X.2016.1268647
"Vol: 36, Issue: 6",
Older peoples production and appropriation of digital videos: an ethnographic study,10.1080/0144929X.2016.1265150
Pre-service teachers skills and perceptions about the use of virtual learning environments to improve teaching and learning,10.1080/0144929X.2016.1266388
"Information sharing as strategic behaviour: the role of information display, social motivation and time pressure",10.1080/0144929X.2016.1267263
How colour similarity can make banner advertising effective: insights from Gestalt theory,10.1080/0144929X.2016.1267264
The impact of security and its antecedents in behaviour intention of using e-government services,10.1080/0144929X.2016.1269198
Exploring user behaviour of emoticon use among Chinese youth,10.1080/0144929X.2016.1269199
Do pirates play fair? Testing copyright awareness of sports viewers,10.1080/0144929X.2016.1272635
Corrigendum,10.1080/0144929X.2016.1273604
"Vol: 36, Issue: 7",
Innovative virtual and collaborative teaching methodologies,10.1080/0144929X.2016.1275806
Enhancing the impact of online hotel reviews through the use of emoticons,10.1080/0144929X.2016.1275807
Design and deployment challenges in immersive and wearable technologies,10.1080/0144929X.2016.1275808
Effects of avatar character performances in virtual reality dramas used for teachers education,10.1080/0144929X.2016.1275809
Exploring extraneous cognitive load in an instructional process via the web conferencing system,10.1080/0144929X.2016.1276964
Sext and gender: examining gender effects on sexting based on the theory of planned behaviour,10.1080/0144929X.2016.1276965
Neuroergonomic analysis of perihand space: effects of hand proximity on eye-tracking measures and performance in a visual search task,10.1080/0144929X.2016.1278561
Understanding community health workers intentions to participate in mHealth studies within developing countries,10.1080/0144929X.2017.1280537
From PhotoWork to PhotoUse: exploring personal digital photo activities,10.1080/0144929X.2017.1288266
"Vol: 36, Issue: 8",
An investigation of the impact of cognitive absorption on continued usage of social media in Taiwan: the perspectives of fit,10.1080/0144929X.2017.1288267
An empirical analysis of a maturity model to assess information system success: a firm-level perspective,10.1080/0144929X.2017.1294201
Development of application-based mobile-service trust and online trust transfer: an elaboration likelihood model perspective,10.1080/0144929X.2017.1296493
Practitioner pre-adoption perceptions of Electronic Medical Record systems,10.1080/0144929X.2017.1303083
Automatic personality identification using writing behaviours: an exploratory study,10.1080/0144929X.2017.1304994
A taxonomy of griefer type by motivation in massively multiplayer online role-playing games,10.1080/0144929X.2017.1306109
An empirical study on the integrative pre-implementation model of technology acceptance in a mandatory environment,10.1080/0144929X.2017.1306751
"Vol: 36, Issue: 9",
Applying Channel Expansion and Self-Determination Theory in predicting use behaviour of cloud-based VLE,10.1080/0144929X.2017.1307450
The effect of different types of navigation assistance on indoor scene memorability,10.1080/0144929X.2017.1309458
Mild stress stimuli built into a non-immersive virtual environment can elicit actual stress responses,10.1080/0144929X.2017.1311374
Performance of smartphone users with half-pie and linear menus,10.1080/0144929X.2017.1312529
Factors affecting adoption of smart meters in the post-Fukushima era in Taiwan: an extended protection motivation theory perspective,10.1080/0144929X.2017.1317363
Consumers post-adoption behaviour towards Internet banking: empirical evidence from Australia,10.1080/0144929X.2017.1319498
"Vol: 36, Issue: 10",
How scales influence user rating behaviour in recommender systems,10.1080/0144929X.2017.1322145
Objective measures of eating behaviour in a Swedish high school,10.1080/0144929X.2017.1322146
Evaluation of automobile navigation systems with multisensory information channels,10.1080/0144929X.2017.1323233
Understanding customer relationship management (CRM) adoption in an Arab Middle Eastern context,10.1080/0144929X.2017.1332098
Shall we play again? The effects of repetitive gameplay and self-efficacy on behavioural intentions to take earthquake precautions,10.1080/0144929X.2017.1334089
"Relationships among smartphone addiction, anxiety, and family relations",10.1080/0144929X.2017.1336254
Structural equation model (SEM)-neural network (NN) model for predicting quality determinants of e-learning management systems,10.1080/0144929X.2017.1340973
Social capital expectation and usage of social media: the moderating role of social capital susceptibility,10.1080/0144929X.2017.1344730
Students perceptions towards using e-learning via Facebook,10.1080/0144929X.2017.1347201
"Vol: 36, Issue: 11",
The effect of temporal psychological distance on reliance on word-of-mouth for information about destination image attributes,10.1080/0144929X.2017.1349179
"Old risks, new challenges: exploring differences in security between home computer and mobile device use",10.1080/0144929X.2017.1352028
Exploring perceptions of data analytics in the internal audit function,10.1080/0144929X.2017.1355014
Understanding user experience of news applications by Taxonomy of Experience (ToE),10.1080/0144929X.2017.1359337
Parental perspectives on childrens use of portable digital devices,10.1080/0144929X.2017.1360941
Assessing the determinants of flow experience in the adoption of learning management systems: the moderating role of perceived institutional support,10.1080/0144929X.2017.1362475
Altered video task: a non-verbal measure of what-who-where recall in young children,10.1080/0144929X.2017.1364422
An ethnographic study of packaging-free purchasing: designing an interactive system to support sustainable social practices,10.1080/0144929X.2017.1365170
"Vol: 36, Issue: 12",
Design for experience innovation: understanding user experience in new product development,10.1080/0144929X.2017.1368709
"Impact of using social network services on workplace ostracism, job satisfaction, and innovative behaviour",10.1080/0144929X.2017.1369568
Intelligent explanation generation system for phishing webpages by employing an inference system,10.1080/0144929X.2017.1369569
"Factors affecting e-training adoption: an examination of perceived cost, computer self-efficacy and the technology acceptance model",10.1080/0144929X.2017.1380703
Who tends to answer open-ended questions in an e-service survey? The contribution of closed-ended answers,10.1080/0144929X.2017.1381165
Ranking versus reputation: perception and effects of search result credibility,10.1080/0144929X.2017.1381166
Moderating effect of motivation for MIM use on the association between MIM bullying opportunities and MIM bullying behaviours,10.1080/0144929X.2017.1384509
Designing social commerce platforms based on consumers intentions,10.1080/0144929X.2017.1386713
"Vol: 35, Issue: 1",
Editorial,10.1080/0144929X.2016.1129164
Aesthetics on the web: effects on approach and avoidance behaviour,10.1080/0144929X.2015.1070202
Design-inclusive UX research: design as a part of doing user experience research,10.1080/0144929X.2015.1081292
Evoking online consumer impulse buying through virtual layout schemes,10.1080/0144929X.2015.1056546
The relationship between online game playing motivation and selection of online game characters  the case of Taiwan,10.1080/0144929X.2015.1094826
The effect of smartphone use on trends in European adolescents excessive Internet use,10.1080/0144929X.2015.1114144
Helpful-stressful cycle? Psychological links between type of mobile phone user and stress,10.1080/0144929X.2015.1055800
"Vol: 35, Issue: 2",
Editorial,10.1080/0144929X.2016.1145378
Exploring consumer preferences in cloud archiving  a student's perspective,10.1080/0144929X.2015.1012650
On the pitfalls of bibliographic database searching: comparing successful and less successful users,10.1080/0144929X.2015.1066446
How to unite the power of the masses? Exploring collective stickiness intention in social network sites from the perspective of knowledge sharing,10.1080/0144929X.2015.1105297
Understanding flow experience from users requirements,10.1080/0144929X.2015.1015167
Understanding collaborative resilience from continuous disruption: an actor-network perspective,10.1080/0144929X.2015.1027875
"Vol: 35, Issue: 3",
Editorial,10.1080/0144929X.2016.1162378
"Integrating functional, social, and psychological determinants to explain online social networking usage",10.1080/0144929X.2015.1035336
Using game mechanics for field evaluation of prototype social applications: a novel methodology,10.1080/0144929X.2015.1046931
A model of e-commerce adoption (MOCA): consumer's perceptions and behaviours,10.1080/0144929X.2015.1132770
Cyber neutralisation and flaming,10.1080/0144929X.2015.1135191
Users' psychological perception and perceived readability of wearable devices for elderly people,10.1080/0144929X.2015.1114145
Measuring the coolness of interactive products: the COOL questionnaire,10.1080/0144929X.2015.1125527
"Vol: 35, Issue: 4",
Editorial,10.1080/0144929X.2016.1177275
Perceptions of information quality dimensions from the perspective of commodity theory,10.1080/0144929X.2015.1128974
Controlling information behaviour: the case for access control,10.1080/0144929X.2015.1128976
The influence of affordances on user preferences for multimedia language learning applications,10.1080/0144929X.2016.1151077
Educational recommender systems and their application in lifelong learning,10.1080/0144929X.2015.1128977
An approach for preventing the indexing of hijacked journal articles in scientific databases,10.1080/0144929X.2015.1128975
Needs identification methodology for inclusive design,10.1080/0144929X.2016.1149962
Improving PDF readability of scientific papers on computer screens,10.1080/0144929X.2015.1128978
Usability and accessibility of portable document format,10.1080/0144929X.2016.1159049
Call for Papers,10.1080/0144929X.2016.1159361
"Vol: 35, Issue: 5",
Editorial,10.1080/0144929X.2016.1178443
The role of perceived information practices on consumers intention to authorise secondary use of personal data,10.1080/0144929X.2015.1128973
E-commerce use in urbanising China: the role of normative social influence,10.1080/0144929X.2016.1160286
Guarding against online threats: why entrepreneurs take protective measures,10.1080/0144929X.2016.1160287
"Investigating the influence of age, social capital affinity, and flow on positive outcomes reported by e-commerce site users",10.1080/0144929X.2016.1166520
"Development and validation of a technology acceptance model for safety-enhancing, wearable locating systems",10.1080/0144929X.2016.1141986
The dynamics of film-induced affect and its effect on the interaction with tablet PCs,10.1080/0144929X.2016.1151076
Human factors of a global society  a system of systems perspective,10.1080/0144929X.2016.1148857
Erratum,10.1080/0144929X.2016.1165539
"Vol: 35, Issue: 6",
Editorial,10.1080/0144929X.2016.1181697
Investigating the effects of experience on human performance in an object-tracking task: a case study of manual rendezvous and docking,10.1080/0144929X.2015.1122084
"Effect of typeface, letter case and position on recognition of short words presented on-screen",10.1080/0144929X.2016.1158318
Linking card sorting to browsing performance  are congruent municipal websites more efficient to use?,10.1080/0144929X.2016.1157207
Using keywords to construct wuzzle-picture-puzzles for the purpose of mastering management and organisational behaviour terminology,10.1080/0144929X.2015.1135192
Perceived social support moderates the relationships between variables in the social cognition model,10.1080/0144929X.2016.1155236
On leaders presence: interactions and influences within online communities,10.1080/0144929X.2016.1144084
Expectations of privacy and trust: examining the views of IT professionals,10.1080/0144929X.2015.1066444
Cyber-humans  our future with machines,10.1080/0144929X.2016.1165941
"Vol: 35, Issue: 7",
Editorial,10.1080/0144929X.2016.1186888
Smartphone addiction and its relationship with social anxiety and loneliness,10.1080/0144929X.2016.1158319
A dual-risk model of user adoption of mobile-based smoking cessation support services,10.1080/0144929X.2015.1066445
Applying psychology to understand relationships with technology: from ELIZA to interactive healthcare,10.1080/0144929X.2016.1141320
The role of goal awareness and information technology self-efficacy on job satisfaction of healthcare system users,10.1080/0144929X.2016.1171396
Exploring demographic and motivational factors associated with hypertext reading by English as a foreign language (EFL) students,10.1080/0144929X.2015.1094827
Active learning through collaborative knowledge building using an automatic free-text scoring system in a b-learning environment,10.1080/0144929X.2016.1171398
Automating and informating: roles to examine technologys impact on performance,10.1080/0144929X.2016.1166521
Corrigendum,10.1080/0144929X.2016.1183298
"Vol: 35, Issue: 8",
Editorial,10.1080/0144929X.2016.1196038
Making HCI theory work: an analysis of the use of activity theory in HCI research,10.1080/0144929X.2016.1175507
Retrospective protocols in usability testing: a comparison of Post-session RTA versus Post-task RTA reports,10.1080/0144929X.2016.1175506
Predicting user preferences of environment design: a perceptual mechanism of user interface customisation,10.1080/0144929X.2016.1186735
Distraction effects of contextual advertising on online news processing: an eye-tracking study,10.1080/0144929X.2016.1177115
Gazemouse coordinated movements and dependency with coordination demands in tracing,10.1080/0144929X.2016.1181209
Age and domain specific usability analysis of opinion visualisation techniques,10.1080/0144929X.2016.1141235
"Vol: 35, Issue: 9",
Editorial,10.1080/0144929X.2016.1217629
Understanding undergraduates problems from determinants of Facebook continuance intention,10.1080/0144929X.2016.1177114
An open book on Facebook? Examining the interdependence of adolescents privacy regulation strategies,10.1080/0144929X.2016.1181210
Understanding the determinants of users subjective well-being in social networking sites: an integration of social capital theory and social presence theory,10.1080/0144929X.2016.1141321
Examining online citizenship behaviours in social network sites: a social capital perspective,10.1080/0144929X.2016.1143032
Applying eco-visualisations of different interface formats to evoke sustainable behaviours towards household water saving,10.1080/0144929X.2016.1189965
Communicating content: development and evaluation of icons for academic document triage through visualisation and perception,10.1080/0144929X.2016.1194478
"Vol: 35, Issue: 10",
Editorial,10.1080/0144929X.2016.1223780
Making knowledge machine-processable: some implications of general semantic search,10.1080/0144929X.2016.1183710
Dynamic changes in the use of online advice in response to task success or failure,10.1080/0144929X.2016.1186734
Crowdsourcing good landmarks for in-vehicle navigation systems,10.1080/0144929X.2016.1158317
ICT-driven financial inclusion initiatives for urban poor in a developing economy: implications for public policy,10.1080/0144929X.2016.1183711
I want to know where my child is at all times  field study of a location-aware safety service for schoolchildren,10.1080/0144929X.2016.1201144
The determinants of helpfulness of online reviews,10.1080/0144929X.2016.1173099
Demystifying selfie: a rampant social media activity,10.1080/0144929X.2016.1201693
Digital fonts and reading,10.1080/0144929X.2016.1196036
"Vol: 35, Issue: 11",
"Virtual reality in learning, collaboration and behaviour: content, systems, strategies, context designs",10.1080/0144929X.2016.1235815
Semiotics of virtual reality as a communication process,10.1080/0144929X.2016.1212092
Using virtual reality for industrial design learning: a methodological proposal,10.1080/0144929X.2016.1215525
Exploring educational immersive videogames: an empirical study with a 3D multimodal interaction prototype,10.1080/0144929X.2016.1232754
Virtual reality systems enhance students achievements in engineering education,10.1080/0144929X.2016.1212931
A picture is worth a thousand words: an empirical study on the influence of content visibility on diffusion processes within a virtual world,10.1080/0144929X.2016.1212932
"Investigating the interrelation between attitudes, learning readiness, and learning styles under virtual learning environment: a study among Indian students",10.1080/0144929X.2016.1212930
Short-term and long-term memory analysis of learning using 2D and 3D educational contents,10.1080/0144929X.2016.1212094
Enhancing augmented reality with cognitive and knowledge perspectives: a case study in museum exhibitions,10.1080/0144929X.2016.1208774
Designing an MOOC as an agent-platform aggregating heterogeneous virtual learning environments,10.1080/0144929X.2016.1212095
Evaluation of quality and personalisation of VR/AR/MR learning systems,10.1080/0144929X.2016.1212929
Presence in personalised e-learning  the impact of cognitive and emotional factors and the moderating role of gender,10.1080/0144929X.2016.1212093
"Vol: 35, Issue: 12",
Editorial,10.1080/0144929X.2016.1249115
Modelling touch-interaction time on smartphones,10.1080/0144929X.2016.1221460
"Effects of auditory, haptic and visual feedback on performing gestures by gaze or by hand",10.1080/0144929X.2016.1194477
Evidence from the surgeons: gesture control of image data displayed during surgery,10.1080/0144929X.2016.1203025
How to reduce the UX bottleneck  train your software developers,10.1080/0144929X.2016.1225818
"The influence of goal clarity, curiosity, and enjoyment on intention to code",10.1080/0144929X.2016.1171399
Designing a persuasive physical activity application for older workers: understanding end-user perceptions,10.1080/0144929X.2016.1211737
Website design: place for luxury brands in cyberspace?,10.1080/0144929X.2016.1188987
What is the role of IT in innovation? A bibliometric analysis of research development in IT innovation,10.1080/0144929X.2016.1212403
A farewell to pens and keyboards,10.1080/0144929X.2016.1246354
List of Reviewers,10.1080/0144929X.2016.1249645
Editorial Board,10.1080/0144929X.2016.1248597
"Vol: 34, Issue: 1",
Editorial,10.1080/0144929X.2015.996976
Police message diffusion on Twitter: analysing the reach of social media communications,10.1080/0144929X.2014.942754
User satisfaction evaluation of microblogging services in China: using the tetra-class model,10.1080/0144929X.2014.942753
Trust in product review blogs: the influence of self-disclosure and popularity,10.1080/0144929X.2014.978378
Compensation paradox: the influence of monetary rewards on user behaviour,10.1080/0144929X.2013.805244
How purchase intention consummates purchase behaviour: the stochastic nature of product valuation in electronic commerce,10.1080/0144929X.2013.853837
Analysing complaint intentions in online shopping: the antecedents of justice and technology use and the mediator of customer satisfaction,10.1080/0144929X.2013.866163
Eliciting positive user experiences with self-service kiosks: pursuing possibilities,10.1080/0144929X.2014.937459
Effect of change management capability in real-time environment: an information orientation perspective in supply chain management,10.1080/0144929X.2014.945961
"Vol: 34, Issue: 2",
EDITORIAL,10.1080/0144929X.2015.1002290
Determinants of employees intention to exert pressure on firms to engage in web accessibility,10.1080/0144929X.2014.936040
Exploring perceptions of web accessibility: a survey approach,10.1080/0144929X.2013.848238
Improving accessibility of mobile devices with EasyWrite,10.1080/0144929X.2014.981584
Understanding the intentions of users to stick to social networking sites: a case study in Taiwan,10.1080/0144929X.2014.928745
Understanding civic engagement behaviour on Facebook from a social capital theory perspective,10.1080/0144929X.2014.934290
Explaining and predicting perceived effectiveness and use continuance intention of a behaviour change support system for weight loss,10.1080/0144929X.2013.866162
Should I stay or should I go? The moderating effect of self-image congruity and trust on social networking continued use,10.1080/0144929X.2014.948489
Understanding the continuance use of social network sites: a computer self-efficacy perspective,10.1080/0144929X.2014.952778
"Vol: 34, Issue: 3",
Editorial,10.1080/0144929X.2015.1011381
Beyond cognition and affect: sensing the unconscious,10.1080/0144929X.2014.912353
Behavioural responses to risk on remote outcomes,10.1080/0144929X.2013.857433
"Information systems and performance: the role of technology, the task and the individual",10.1080/0144929X.2014.934287
"Information systems satisfaction, loyalty and attachment: conceptual and empirical differentiation",10.1080/0144929X.2014.952779
Exploring managers' intention to use business intelligence: the role of motivations,10.1080/0144929X.2014.968208
How individual characteristics influence people's evaluation towards information technology in different contexts,10.1080/0144929X.2014.895045
Does computing anger have social elements? A comparison with driving anger,10.1080/0144929X.2014.895421
A neural network-based approach for user experience assessment,10.1080/0144929X.2014.921728
The impact of personal innovativeness on product aesthetics and self-connection with brand: a case study of mobile phone users,10.1080/0144929X.2014.952777
"Vol: 34, Issue: 4",
Editorial,10.1080/0144929X.2015.1023653
How access gaps interact and shape digital divide: a cognitive investigation,10.1080/0144929X.2013.833650
Gender-related consequences of Internet use perceived by parents in a representative quota sample of adolescents,10.1080/0144929X.2014.928746
Preventing problematic Internet use through video-based interventions: a theoretical model and empirical test,10.1080/0144929X.2014.936041
Trust and online information-sharing in close relationships: a cross-cultural perspective,10.1080/0144929X.2014.937458
Supporting children's online identity in international communities,10.1080/0144929X.2014.948490
"The influence of familiarity, trust and norms of reciprocity on an experienced sense of community: an empirical analysis based on social online services",10.1080/0144929X.2014.959455
Specifying the dynamics of social technologies as social microworlds,10.1080/0144929X.2015.1004650
Can I afford to help? How affordances of communication modalities guide bystanders' helping intentions towards harassment on social network sites,10.1080/0144929X.2014.983979
"The Laws of the Knowledge Workplace edited by Dariusz Jemielniak, Gower, 2014",10.1080/0144929X.2014.982902
"Vol: 34, Issue: 5",
Living and working on the Web,10.1080/0144929X.2015.1025617
Teachers personal web use at work,10.1080/0144929X.2014.928744
Employees' use of social media technologies: a methodological and thematic review,10.1080/0144929X.2015.1004647
Cultivating travellers' revisit intention to e-tourism service: the moderating effect of website interactivity,10.1080/0144929X.2014.978376
Understanding user motivation for evaluating online content: a self-determination theory perspective,10.1080/0144929X.2014.964319
The influence of national culture on the performance expectancy of e-parliament adoption,10.1080/0144929X.2014.1003326
User value design for cloud courseware system,10.1080/0144929X.2014.918177
Advertising value and credibility transfer: attitude towards web advertising and online information acquisition,10.1080/0144929X.2014.978380
Assessing the relationship between autistic traits and cyberdeviancy in a sample of college students,10.1080/0144929X.2014.978377
"Vol: 34, Issue: 6",
"Medical teamwork, collaboration and patient-centred care",10.1080/0144929X.2015.1033181
Disease surveillance and patient care in remote regions: an exploratory study of collaboration among health-care professionals in Amazonia,10.1080/0144929X.2013.853836
Issues and opportunities in transitions from speciality care: a field study of bone marrow transplant,10.1080/0144929X.2014.921729
Non-clinical work counts: facilitating patient outflow in an emergency department,10.1080/0144929X.2014.963673
On a QUESt for a web-based tool promoting knowledge-sharing in medical communities,10.1080/0144929X.2014.934288
Using mobile devices and apps to support reflective learning about older people with dementia,10.1080/0144929X.2015.1015165
An augmentative and alternative communication tool for children and adolescents with cerebral palsy,10.1080/0144929X.2015.1019567
Hypnosis therapy using augmented reality technology: treatment for psychological stress and anxiety,10.1080/0144929X.2015.1022223
"Vol: 34, Issue: 7",
Editorial,10.1080/0144929X.2015.1039260
Group identification as a mediator of the effect of players anonymity on cheating in online games,10.1080/0144929X.2013.843721
Meeting ex-partners on Facebook: users' anxiety and severity of depression,10.1080/0144929X.2014.981585
College students and risk-taking behaviour on Twitter versus Facebook,10.1080/0144929X.2014.1003325
"Use of Facebook, Tuenti, Twitter and Myspace among young Spanish people",10.1080/0144929X.2014.993428
"The lesbian, gay, bisexual and transgender community online: discussions of bullying and self-disclosure in YouTube videos",10.1080/0144929X.2015.1012649
3-D route-planning support for navigation in a complex indoor environment,10.1080/0144929X.2015.1004649
Exploring older women's confidence during route planning,10.1080/0144929X.2014.960001
Understanding driver adoption of car navigation systems using the extended technology acceptance model,10.1080/0144929X.2014.963672
"Handbook of virtual environments: design, implementation, and applications, second edition, edited by Kelly S. Hale and Kay M. Stanney, CRC Press, 2014",10.1080/0144929X.2015.1013791
"Vol: 34, Issue: 8",
Mental load and usability,10.1080/0144929X.2015.1049434
A defeasible reasoning framework for human mental workload representation and assessment,10.1080/0144929X.2015.1015166
Predicting numerical data entry errors by classifying EEG signals with linear discriminant analysis,10.1080/0144929X.2014.945962
A usability study of iPhone built-in applications,10.1080/0144929X.2014.981583
A typology of human computation games: an analysis and a review of current games,10.1080/0144929X.2013.862304
A comparative analysis of different gender pair combinations in pair programming,10.1080/0144929X.2014.937460
Longitudinal test of ePortfolio continuous use: an empirical study on the change of students beliefs,10.1080/0144929X.2014.907344
"Vol: 34, Issue: 9",
