year,pname,doi
2018,Digital Behaviour Change Interventions to Break and Form Habits,10.1145/3196830
2018,"Personal Informatics for Sport: Meaning, Body, and Social Relations in Amateur and Elite Athletes",10.1145/3196829
2018,Collective Privacy Management in Social Media: A Cross-Cultural Validation,10.1145/3193120
2018,Fallacies of Agreement: A Critical Review of Consensus Assessment Methods for Gesture Elicitation,10.1145/3182168
2018,Design Guideline for Developing Safe Systems that Apply Electricity to the Human Body,10.1145/3184743
2018,Interpretive Impacts of Text Visualization: Mitigating Political Framing Effects,10.1145/3214353
2018,Older Adults Deployment of Distrust,10.1145/3196490
2018,Automatics: Dynamically Generating Fabrication Tasks to Adapt to Varying Contexts,10.1145/3185065
2018,Personal Mobile Messaging in Context: Chat Augmentations for Expressiveness and Awareness,10.1145/3201404
2018,BotMap: Non-Visual Panning and Zooming with an Actuated Tabletop Tangible Interface,10.1145/3204460
2018,Assisted Shifting of Electricity Use: A Long-Term Study of Managing Residential Heating,10.1145/3210310
2018,Infrastructural Inaccessibility: Tech Entrepreneurs in Occupied Palestine,10.1145/3219777
2018,Speed-Accuracy Tradeoff: A Formal Information-Theoretic Transmission Scheme (FITTS),10.1145/3231595
2018,"Social Support, Reciprocity, and Anonymity in Responses to Sexual Abuse Disclosures on Social Media",10.1145/3234942
2018,Getting There: Barriers and Facilitators to Transportation Access in Underserved Communities,10.1145/3233985
2018,Fast and Precise Touch-Based Text Entry for Head-Mounted Augmented Reality with Variable Occlusion,10.1145/3232163
2018,Responding to Sensitive Disclosures on Social Media: A Decision-Making Framework,10.1145/3241044
2018,CheerOn: Facilitating Online Social Support for Novice Project-Based Learning Teams,10.1145/3241043
2018,From Being There to Watching: Shared and Dedicated Telepresence Robot Usage at Academic Conferences,10.1145/3243213
2018,Empirical Measurement of Perceived Privacy Risk,10.1145/3267808
2018,Blending Human and Artificial Intelligence to Support Autistic Childrens Social Communication Skills,10.1145/3271484
2019,How Can Affect Be Detected and Represented in Technological Support for Physical Rehabilitation?,10.1145/3299095
2019,It Is About What They Could Do with the Data: A User Perspective on Privacy in Smart Metering,10.1145/3281444
2019,How UX Practitioners Produce Findings in Usability Testing,10.1145/3299096
2019,Support for Carers of Young People with Mental Illness: Design and Trial of a Technology-Mediated Therapy,10.1145/3301421
2019,Understanding the Role of Interactive Machine Learning in Movement Interaction Design,10.1145/3287307
2019,Introduction to Human-Building Interaction (HBI): Interfacing HCI with Architecture and Urban Design,10.1145/3309714
2019,Do Architects and Designers Think about Interactivity Differently?,10.1145/3301425
2019,Temporal Constraints in Human--Building Interaction,10.1145/3301424
2019,Designing to Distract: Can Interactive Technologies Reduce Visitor Anxiety in a Children's Hospital Setting?,10.1145/3301427
2019,Exploring and Understanding the Role of Workshop Environments in Personal Fabrication Processes,10.1145/3301420
2019,WindowWall: Towards Adaptive Buildings with Interactive Windows as Ubiquitous Displays,10.1145/3310275
2019,Adaptive Architecture and Personal Data,10.1145/3301426
2019,Of Dolls and Men: Anticipating Sexual Intimacy with Robots,10.1145/3301422
2019,Automated Usability Evaluation of Virtual Reality Applications,10.1145/3301423
2019,Infrastructuring Public Service Transformation: Creating Collaborative Spaces between Communities and Institutions through HCI Research,10.1145/3310284
2019,Isopleth: Supporting Sensemaking of Professional Web Applications to Create Readily Available Learning Experiences,10.1145/3310274
2019,"Music, Search, and IoT: How People (Really) Use Voice Assistants",10.1145/3311956
2019,The Role of Social Computing Technologies in Grassroots Movement Building,10.1145/3318140
2019,Enact: Reducing DesignerDeveloper Breakdowns When Prototyping Custom Interactions,10.1145/3310276
2019,Exploring Low-Occlusion Qwerty Soft Keyboard Using Spatial Landmarks,10.1145/3318141
2019,Ambiguity as a Resource to Inform Proto-Practices: The Case of Skin Conductance,10.1145/3318143
2019,Rethinking Technologies for Behavior Change: A View from the Inside of Human Change,10.1145/3318142
2019,Recov-R: Evaluation of a Home-Based Tailored Exergame System to Reduce Fall Risk in Seniors,10.1145/3325280
2019,Local Decision Pitfalls in Interactive Machine Learning: An Investigation into Feature Selection in Sentiment Analysis,10.1145/3319616
2019,Going to School on a Robot: Robot and User Interface Design Features that Matter,10.1145/3325210
2019,Objects with Intent: Designing Everyday Things as Collaborative Partners,10.1145/3325277
2019,What Do We Mean by Interaction? An Analysis of 35 Years of CHI,10.1145/3325285
2019,Concurrent Think-Aloud Verbalizations and Usability Problems,10.1145/3325281
2019,Its a girl thing: Examining Challenges and Opportunities around Menstrual Health Education in India,10.1145/3325282
2019,Making Maps Available for Play: Analyzing the Design of Game Cartography Interfaces,10.1145/3336144
2019,Human-Machine Collaboration for Content Regulation: The Case of Reddit Automoderator,10.1145/3338243
2019,Susceptibility to Spear-Phishing Emails: Effects of Internet User Demographics and Email Content,10.1145/3336141
2019,Diversifying Future-Making Through Itinerative Design,10.1145/3341727
2019,Designing Meaningful Products in the Digital Age: How Users Value Their Technological Possessions,10.1145/3341980
2019,The Reality of Reality-Based Interaction: Understanding the Impact of a Framework as a Research Tool,10.1145/3319617
2019,Designing for Awareness in Interactions with Shared Systems: The DASS Framework,10.1145/3338845
2019,Improving User Experience of Eye Tracking-Based Interaction: Introspecting and Adapting Interfaces,10.1145/3338844
2019,Agency of Autistic Children in Technology ResearchA Critical Literature Review,10.1145/3344919
2019,Attention Regulation Framework: Designing Self-Regulated Mindfulness Technologies,10.1145/3359593
2019,The Struggle for Recognition in Advanced Dementia: Implications for Experience-Centered Design,10.1145/3359594
2019,Rebuilding Social Capital in Refugees and Asylum Seekers,10.1145/3364996
2020,"Performing the Digital Self: Understanding Location-Based Social Networking, Territory, Space, and Identity in the City",10.1145/3364997
2020,Entanglement HCI The Next Wave?,10.1145/3364998
2020,Reducing Perceived Waiting Time in Theme Park Queues via an Augmented Reality Game,10.1145/3361524
2020,"Eye, Head and Torso Coordination During Gaze Shifts in Virtual Reality",10.1145/3361218
2020,"PIV: Placement, Pattern, and Personalization of an Inconspicuous Vibrotactile Breathing Pacer",10.1145/3365107
2020,Confident Privacy Decision-Making in IoT Environments,10.1145/3364223
2020,How Interaction Designers Use Tools to Manage Ideas,10.1145/3365104
2020,The Unexpected Downside of Paying or Sending Messages to People to Make Them Walk: Comparing Tangible Rewards and Motivational Messages to Improve Physical Activity,10.1145/3365665
2020,Voices of the Social Sector: A Systematic Review of Stakeholder Voice in HCI Research with Nonprofit Organizations,10.1145/3368368
2020,The Five Strands of Living Lab: A Literature Study of the Evolution of Living Lab Concepts in HCI,10.1145/3380958
2020,Countdown Timer Speed: A Trade-off between Delay Duration Perception and Recall,10.1145/3380961
2020,An Activity Centered Approach to Nonvisual Computer Interaction,10.1145/3374211
2020,Expanding the Bounds of Seated Virtual Workspaces,10.1145/3380959
2020,Shelfie: A Framework for Designing Material Representations of Physical Activity Data,10.1145/3379539
2020,Tell Me About Yourself: Using an AI-Powered Chatbot to Conduct Conversational Surveys with Open-ended Questions,10.1145/3381804
2020,Ordinary User Experiences at Work: A Study of Greenhouse Growers,10.1145/3386089
2020,Its All in the Timing: Principles of Transient Distraction Illustrated with Vibrotactile Tasks,10.1145/3386358
2020,"Disclosure, Privacy, and Stigma on Social Media: Examining Non-Disclosure of Distressing Experiences",10.1145/3386600
2020,Designing Digital Vertigo Experiences,10.1145/3387167
2020,Introduction to the Special Issue on HCI and the Body: Reimagining Womens Health,10.1145/3406091
2020,The Menstruating Entrepreneur Kickstarting a New Politics of Women's Health,10.1145/3397158
2020,Multiples Over Models: Interrogating the Past and Collectively Reimagining the Future of Menstrual Sensemaking,10.1145/3397178
2020,"Taking the Long, Holistic, and Intersectional View to Womens Wellbeing",10.1145/3397159
2020,Troubling Design: A Design Program for Designing with Women's Health,10.1145/3397199
2020,"Reimagining (Womens) Health: HCI, Gender and Essentialised Embodiment",10.1145/3404218
2020,"The Fundamental Uncertainties of Mothering: Finding Ways to Honor Endurance, Struggle, and Contradiction",10.1145/3397177
2020,"Woman-Centered Design through Humanity, Activism, and Inclusion",10.1145/3397176
2020,Commanding and Re-Dictation: Developing Eyes-Free Voice-Based Interaction for Editing Dictated Text,10.1145/3390889
2020,Translations and Boundaries in the Gap Between HCI Theory and Design Practice,10.1145/3386247
2020,Privacy Norms and Preferences for Photos Posted Online,10.1145/3380960
2020,Use of Intelligent Voice Assistants by Older Adults with Low Technology Use,10.1145/3373759
2020,TimeToFocus: Feedback on Interruption Durations Discourages Distractions and Shortens Interruptions,10.1145/3396044
2020,Shortcut Gestures for Mobile Text Editing on Fully Touch Sensitive Smartphones,10.1145/3396233
2020,Machine Learning in Mental Health: A Systematic Review of the HCI Literature to Support the Development of Effective and Implementable ML Systems,10.1145/3398069
2020,Supporting the Analysis of Safety Critical User Interfaces: An Exploration of Three Formal Tools,10.1145/3404199
2020,SMELL SPACE: Mapping out the Olfactory Design Space for Novel Interactions,10.1145/3402449
2020,Designing Hybrid Gifts,10.1145/3398193
2020,"""I Cannot Do All of This Alone"": Exploring Instrumental and Prayer Support in Online Health Communities",10.1145/3402855
2020,BodyWire-HCI: Enabling New Interaction Modalities by Communicating Strictly During Touch Using Electro-Quasistatic Human Body Communication,10.1145/3406238
2020,"Privacy Risks, Emotions, and Social Media: A Coping Model of Online Privacy",10.1145/3412367
2020,"Rehabilitation Games in Real-World Clinical Settings: Practices, Challenges, and Opportunities",10.1145/3418197
2020,Multimodal Coordination Measures to Understand Users and Tasks,10.1145/3412365
2020,Engagement by Design: An Empirical Study of the Reactions Feature on Facebook Business Pages,10.1145/3412844
2020,Necessary and Unnecessary Distractor Avoidance Movements Affect User Behaviors in Crossing Operations,10.1145/3418413
2020,Longer Delays in Rehearsal-based Interfaces Increase Expert Use,10.1145/3418196
2020,Exploring How Persons with Dementia and Care Partners Collaboratively Appropriate Information and Communication Technologies,10.1145/3389377
2021,Designing Deep Reinforcement Learning for Human Parameter Exploration,10.1145/3414472
2021,A Longitudinal Study of Pervasive Display Personalisation,10.1145/3418352
2021,Detecting Depression and Predicting its Onset Using Longitudinal Symptoms Captured by Passive Sensing: A Machine Learning Approach With Robust Feature Selection,10.1145/3422821
2021,"The Matter of Tools: Designing, Using and Reflecting on New Tools for Emerging eTextile Craft Practices",10.1145/3426776
2021,"Machete: Easy, Efficient, and Precise Continuous Custom Gesture Segmentation",10.1145/3428068
2021,Fast and Secure Authentication in Virtual Reality Using Coordinated 3D Manipulation and Pointing,10.1145/3428121
2021,The Nudge Puzzle: Matching Nudge Interventions to Cybersecurity Decisions,10.1145/3429888
2021,Filtering and Informing the Design Space: Towards Design-Space Thinking,10.1145/3434462
2021,Comparison of Common Ground Models for Human--Computer Dialogue: Evidence for Audience Design,10.1145/3410876
2021,It Must Include Rules: Middle School Students Computational Thinking with Computer Models in Science,10.1145/3415582
2021,The Purpose of Play: How HCI Games Research Fails Neurodivergent Populations,10.1145/3432245
2021,Towards Dynamic Checklists: Understanding Contexts of Use and Deriving Requirements for Context-Driven Adaptation,10.1145/3444947
2021,Establishing Context: AAC Device Adoption and Support in a Special-Education Setting,10.1145/3446205
2021,Embracing Four Tensions in Human-Computer Interaction Research with Marginalized People,10.1145/3443686
2021,CogTool+: Modeling Human Performance at Large Scale,10.1145/3447534
2021,Introduction: Performing Rurality with Computing,10.1145/3461832
2021,As a Squash Plant Grows: Social Textures of Sparse Internet Connectivity in Rural and Tribal Communities,10.1145/3453862
2021,A Sociocultural Explanation of Internet-Enabled Work in Rural Regions,10.1145/3443705
2021,Digital Technology at the Edge of Capitalism: Experiences from the Brazilian Amazon Rainforest,10.1145/3448072
2021,"Rural Uncommoning: Women, Community Networks and the Enclosure of Life",10.1145/3445793
2021,Rural Islandness as a Lens for (Rural) HCI,10.1145/3443704
2021,"Living in a City, Living a Rural Life: Understanding Second Generation Mingongs Experiences with Technologies in China",10.1145/3448979
